Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Observed Attendance,Marital Status,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,TL,Scheduled ,Candidate 418,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,TL,Scheduled ,Candidate 421,Male,Chennai,Chennai,Chennai,Pondicherry,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Single,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 422,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 424,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 425,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 426,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 428,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 429,Female,Chennai,Chennai,Chennai,Pondicherry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
11.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,TL,Scheduled ,Candidate 430,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
10.5.16,Standard Chartered Bank,BFSI,Chennai,Routine,Sr Automation Testing,Scheduled ,Candidate 431,Female,Chennai,Chennai,Chennai,Kolkata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
11.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Senior Analyst,Scheduled ,Candidate 435,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
11.05.16,Standard Chartered Bank,BFSI,Chennai,Routine,Senior Analyst,Scheduled ,Candidate 437,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Single,,,,,
12.04.2017,Pfizer,Pharmaceuticals,Bangalore,Routine,production,Scheduled ,Candidate 439,Male,Bangalore,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
12.04.2019,Pfizer,Pharmaceuticals,Bangalore,Routine,production,Scheduled ,Candidate 441,Male,Bangalore,Chennai,Chennai,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
12.04.2020,Pfizer,Pharmaceuticals,Bangalore,Routine,production,Scheduled ,Candidate 442,Male,Bangalore,Chennai,Chennai,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
12.04.2022,Pfizer,Pharmaceuticals,Bangalore,Routine,production,Scheduled ,Candidate 444,Male,Bangalore,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
12.04.2023,Pfizer,Pharmaceuticals,Bangalore,Routine,Production,Scheduled ,Candidate 445,Male,Bangalore,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
8.5.16,Pfizer,Pharmaceuticals,Bangalore,Niche,Regulatory,Scheduled ,Candidate 447,Male,Bangalore,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
7.5.16,Pfizer,Pharmaceuticals,Hyderabad,Niche,Regulatory,Scheduled ,Candidate 448,Male,Hyderabad,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,yes,Single,,,,,
8.5.16,Pfizer,Pharmaceuticals,Bangalore,Routine,Regulatory,Scheduled ,Candidate 449,Female,Bangalore,Chennai,Chennai,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
7.5.16,Pfizer,Pharmaceuticals,Hyderabad,Routine,Regulatory,Scheduled ,Candidate 450,Female,Hyderabad,Chennai,Chennai,Ahmedabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 454,Male,Bangalore,Bangalore,Bangalore,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 455,Male,Bangalore,Bangalore,Bangalore,Cuttack,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 458,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 459,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 460,Male,Bangalore,Bangalore,Bangalore,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 461,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 462,Male,Bangalore,Bangalore,Bangalore,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 463,Male,Bangalore,Bangalore,Bangalore,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Scheduled Walk In,Candidate 464,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.03.16,Standard Chartered Bank Chennai,BFSI,Bangalore,Routine,Core Java,Sceduled walkin,Candidate 468,Female,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
24.05.2016,Aon hewitt Gurgaon,IT Products and Services,Gurgaonr,Routine,Java J2EE,Scheduled ,Candidate 469,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
24.05.2016,Aon hewitt Gurgaon,IT Products and Services,Gurgaon,Routine,Java J2EE,Scheduled ,Candidate 470,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 471,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 476,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 477,Male,Chennai,Chennai,Chennai,Pondicherry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 479,Male,Chennai,Chennai,Chennai,Vellore,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 480,Male,Chennai,Chennai,Chennai,Vellore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 482,Male,Chennai,Chennai,Chennai,Nagercoil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 485,Male,Chennai,Chennai,Chennai,Chitoor,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 486,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 489,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 490,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 491,Male,Chennai,Chennai,Chennai,Pondicherry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 492,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
5/11/2016,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle Plsql,Walkin,Candidate 494,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
26/05/2016,Aon Hewitt,IT Products and Services,Gurgaon,Routine,"Java,SQL",Scheduled ,Candidate 496,Female,Gurgaon,Gurgaon,Gurgaon,Gurgaon,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
26/05/2016,Aon Hewitt,IT Products and Services,Delhi,Routine,"Java,SQL",Scheduled ,Candidate 498,Male,Delhi,Gurgaon,Gurgaon,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 499,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Single,,,,,
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 501,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 504,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 505,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
28.08.2016 & 9.30 AM,Pfizer,Pharmaceuticals,Bangalore,Routine,Submission Management,Scheduled Walkin,Candidate 507,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
28.08.2016 & 09.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Biosimillar,Scheduled Walkin,Candidate 509,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
28.8.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Biosimillar,Scheduled Walkin,Candidate 510,Male,Bangalore,Chennai,Bangalore,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
28.08.2016 & 9.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 511,Male,Bangalore,Chennai,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
28.8.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 512,Male,Bangalore,Chennai,Bangalore,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
28.8.2016 & 09.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 513,Male,Bangalore,Chennai,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
28.8.2016 & 04.00 PM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 514,Male,Bangalore,Chennai,Bangalore,Cuttack,NA,NA,NA,NA,NA,NA,NA,yes,Single,,,,,
28.08.2016 & 11.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 515,Male,Bangalore,Chennai,Bangalore,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
28.08.2016 & 11.00 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 516,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
28.08.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 517,Male,Bangalore,Chennai,Bangalore,Pune,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
28.8.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 521,Male,Bangalore,Chennai,Bangalore,Ghaziabad,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
28.08.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 524,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 526,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 527,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 528,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 529,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 530,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 533,Male,Chennai,Chennai,Chennai,Hosur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 535,Male,Chennai,Chennai,Chennai,Hosur,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 539,Female,Chennai,Chennai,Chennai,Coimbatore,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 540,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 542,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 543,Male,Chennai,Chennai,Chennai,Chitoor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 544,Female,Chennai,Chennai,Chennai,Tirupati,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 546,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 547,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 548,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 550,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 551,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 554,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 555,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 556,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 557,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 558,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 561,Female,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 562,Female,Chennai,Chennai,Chennai,Trivandrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 565,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 566,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 567,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 569,Male,Chennai,Chennai,Chennai,Nagercoil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 570,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 572,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 574,Female,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 576,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 579,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 580,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.09.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Accounting Operations,Scheduled Walk In,Candidate 581,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 584,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 586,Male,Chennai,Chennai,Chennai,Hyderabad,yes,yes,No,No,Yes,Yes,Yes,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 587,Male,Chennai,Chennai,Chennai,Faizabad,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 590,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 591,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 592,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 594,Female,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 595,Male,Chennai,Chennai,Chennai,Chennai,yes,yes,yes,No,Yes,Yes,Yes,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 596,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
02.12.2015,Flextronics,Electronics,Chennai,Routine,Java Developer,Scheduled ,Candidate 600,Female,Chennai,Chennai,Chennai,Trichy,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 604,Male,Chennai,Chennai,Chennai,Vellore,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 605,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 606,Female,Chennai,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Yes,Married,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 609,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 610,Male,Chennai,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Yes,Single,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 612,Male,Chennai,Chennai,Chennai,Visakapatinam,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 614,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
23.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Lending and Liabilities,Walkin,Candidate 615,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
